source	interaction	target
22RV1	0	22RV1
22RV1	0	VCaP
647-V	0	647-V
647-V	0	BFTC-905
647-V	0	CAL-120
647-V	0	Calu-3
647-V	0	HCC1143
647-V	0	HCC1806
647-V	0	HCC1937
647-V	0	HCC38
647-V	0	HCT-116
647-V	0	HT-1376
647-V	0	J82
647-V	0	MDA-MB-231
647-V	0	MDA-MB-468
647-V	0	NCI-H1975
647-V	0	NCI-H2085
647-V	0	NCI-H2170
647-V	0	NCI-H226
647-V	0	NCI-H2291
647-V	0	NCI-H3122
647-V	0	NCI-H747
647-V	0	SW780
647-V	0	SW900
647-V	0	T-24
647-V	0	VM-CUB-1
A549	0	A549
A549	0	NCI-H1793
BFTC-905	0	BFTC-905
BFTC-905	0	HCC1143
BFTC-905	0	HCC1806
BFTC-905	0	HCC1937
BFTC-905	0	HCT-116
BFTC-905	0	KU-19-19
BFTC-905	0	MDA-MB-231
BFTC-905	0	NCI-H1975
BFTC-905	0	NCI-H2170
BFTC-905	0	NCI-H2291
BFTC-905	0	NCI-H23
BFTC-905	0	NCI-H3122
BFTC-905	0	SW780
BFTC-905	0	SW900
BFTC-905	0	T-24
BFTC-905	0	VM-CUB-1
BT-20	0	BT-20
BT-20	0	HCC1937
BT-20	0	HCC1954
BT-20	0	HCC70
BT-20	0	MDA-MB-468
BT-474	0	BT-474
BT-474	0	CAL-148
BT-474	0	CAMA-1
BT-474	0	EVSA-T
BT-474	0	HCC1419
BT-474	0	MCF7
BT-474	0	MDA-MB-361
BT-474	0	MDA-MB-453
BT-549	0	BT-549
BT-549	0	HCC1395
BT-549	0	Hs-578-T
BT-549	0	J82
BT-549	0	MDA-MB-436
BT-549	0	NCI-H1299
BT-549	0	NCI-H1703
BT-549	0	NCI-H23
BT-549	0	T-24
BT-549	0	TCCSUP
BT-549	0	UM-UC-3
C32	0	C32
C32	0	M14
CAL-120	0	CAL-120
CAL-120	0	J82
CAL-120	0	MDA-MB-231
CAL-120	0	MDA-MB-436
CAL-120	0	NCI-H1299
CAL-120	0	NCI-H1975
CAL-120	0	NCI-H226
CAL-120	0	NCI-H23
CAL-120	0	T-24
CAL-120	0	VM-CUB-1
CAL-148	0	CAL-148
CAL-148	0	CAMA-1
CAL-148	0	EVSA-T
CAL-148	0	MCF7
CAL-148	0	MDA-MB-361
CAL-148	0	MDA-MB-453
CAL-51	0	CAL-51
Calu-3	0	Calu-3
Calu-3	0	HCC1143
Calu-3	0	HCC1806
Calu-3	0	HCC1937
Calu-3	0	HT-29
Calu-3	0	NCI-H2291
Calu-3	0	NCI-H747
Calu-3	0	SW900
Calu-6	0	Calu-6
Calu-6	0	NCI-H1975
Calu-6	0	NCI-H23
Calu-6	0	SW900
Calu-6	0	T-24
CAMA-1	0	CAMA-1
CAMA-1	0	EVSA-T
CAMA-1	0	HCC1419
CAMA-1	0	HCC1428
CAMA-1	0	HCC1500
CAMA-1	0	MCF7
CAMA-1	0	MDA-MB-361
CAMA-1	0	MDA-MB-415
CAMA-1	0	MDA-MB-453
CAMA-1	0	T47D
COLO-205	0	COLO-205
COLO-205	0	HT-29
COLO-205	0	LS-513
COLO-205	0	NCI-SNU-16
COLO-205	0	SW948
DMS-114	0	DMS-114
DMS-114	0	NCI-H1703
DMS-114	0	NCI-H522
DU-4475	0	DU-4475
EVSA-T	0	EVSA-T
EVSA-T	0	HCC1419
EVSA-T	0	MCF7
EVSA-T	0	MDA-MB-361
EVSA-T	0	MDA-MB-415
EVSA-T	0	MDA-MB-453
EVSA-T	0	T47D
HCC1143	0	HCC1143
HCC1143	0	HCC1806
HCC1143	0	HCC1937
HCC1143	0	HCC38
HCC1143	0	HCT-116
HCC1143	0	KU-19-19
HCC1143	0	MDA-MB-231
HCC1143	0	MDA-MB-468
HCC1143	0	NCI-H1793
HCC1143	0	NCI-H1975
HCC1143	0	NCI-H2291
HCC1143	0	NCI-H23
HCC1143	0	SW780
HCC1143	0	SW900
HCC1143	0	T-24
HCC1143	0	VM-CUB-1
HCC1187	0	HCC1187
HCC1395	0	HCC1395
HCC1395	0	J82
HCC1395	0	MDA-MB-436
HCC1395	0	NCI-H1975
HCC1395	0	T-24
HCC1395	0	TCCSUP
HCC1419	0	HCC1419
HCC1419	0	MDA-MB-361
HCC1419	0	MDA-MB-453
HCC1428	0	HCC1428
HCC1428	0	HCC1500
HCC1428	0	MCF7
HCC1428	0	MDA-MB-361
HCC1428	0	T47D
HCC1500	0	HCC1500
HCC1500	0	MCF7
HCC1500	0	MDA-MB-453
HCC1500	0	T47D
HCC1569	0	HCC1569
HCC1569	0	MDA-MB-157
HCC1806	0	HCC1806
HCC1806	0	HCC1937
HCC1806	0	NCI-H1975
HCC1806	0	SW780
HCC1806	0	SW900
HCC1806	0	T-24
HCC1806	0	VM-CUB-1
HCC1937	0	HCC1937
HCC1937	0	HCC1954
HCC1937	0	HCC38
HCC1937	0	HCC70
HCC1937	0	HT-1376
HCC1937	0	MDA-MB-468
HCC1937	0	NCI-H1975
HCC1937	0	NCI-H2291
HCC1937	0	NCI-H747
HCC1937	0	SW780
HCC1937	0	SW900
HCC1954	0	HCC1954
HCC1954	0	HCC70
HCC1954	0	MDA-MB-468
HCC1954	0	NCI-H1975
HCC1954	0	NCI-H3122
HCC1954	0	NCI-H358
HCC1954	0	SW780
HCC1954	0	SW900
HCC38	0	HCC38
HCC38	0	J82
HCC38	0	NCI-H1793
HCC38	0	NCI-H1975
HCC38	0	NCI-H2170
HCC38	0	NCI-H2291
HCC38	0	SW900
HCC38	0	T-24
HCC38	0	VM-CUB-1
HCC70	0	HCC70
HCC70	0	MDA-MB-468
HCT-116	0	HCT-116
HCT-116	0	KU-19-19
HCT-116	0	NCI-H1975
HCT-116	0	NCI-H2291
HCT-116	0	NCI-H23
HCT-116	0	NCI-H3122
