source	interaction	target
AKT_PIK3C	0	AKT_PIK3C
AKT	0	AKT
AKT	0	ALK_IGFR
AKT	0	FGFR4
AKT	0	PDGFR_Ab
AKT	0	TNKS_PARP6
AKT	0	IAP
AKT	0	TNFSF10
AKT	0	WNT
AKT	0	IGFR_3
AKT	0	AR_1
AKT	0	CD19
AKT	0	ALK_2
AKT	0	PIP5K1
AKT	0	ADAM17
AKT	0	BRAF_M
AKT	0	IAP_2
AKT	0	AR
AKT	0	SLC16A4
ATR_2	0	ATR_2
ATR_2	0	ATR_1
ATR_2	0	ATR_3
Azacytidine	0	Azacytidine
Azacytidine	0	Gemcitibine
ATR_1	0	ATR_1
ATR_1	0	ATR_3
ATR_4	0	ATR_4
ATR_4	0	ATR_3
BCL2_3	0	BCL2_3
ALK_IGFR	0	ALK_IGFR
ALK_IGFR	0	ALK
ALK_IGFR	0	EGFR_2
ALK_IGFR	0	ERBB
ALK_IGFR	0	IGFR_2
ALK_IGFR	0	IGFR_4
ALK_IGFR	0	MTOR_1
ALK_IGFR	0	SRC
ALK_IGFR	0	FGFR4
ALK_IGFR	0	PDGFR_Ab
ALK_IGFR	0	TNKS_PARP6
ALK_IGFR	0	IAP
ALK_IGFR	0	TNFSF10
ALK_IGFR	0	WNT
ALK_IGFR	0	IGFR_3
ALK_IGFR	0	AR_1
ALK_IGFR	0	CD19
ALK_IGFR	0	ALK_2
ALK_IGFR	0	PIP5K1
ALK_IGFR	0	ADAM17
ALK_IGFR	0	BRAF_M
ALK_IGFR	0	IAP_2
ALK_IGFR	0	AR
ALK_IGFR	0	SLC16A4
AKT_1	0	AKT_1
BRAF_2	0	BRAF_2
ALK	0	ALK
ALK	0	EGFR_2
ALK	0	IGFR_2
ALK	0	IGFR_4
ALK	0	MTOR
ALK	0	MTOR_1
ALK	0	SRC
ALK	0	FGFR4
ALK	0	PDGFR_Ab
ALK	0	TNKS_PARP6
ALK	0	TNFSF10
ALK	0	IGFR_3
ALK	0	ALK_2
ALK	0	PIP5K1
ALK	0	ADAM17
ALK	0	BRAF_M
ALK	0	IAP_2
ALK	0	AR
ALK	0	SLC16A4
Carboplatin	0	Carboplatin
BIRC5	0	BIRC5
BRAF_M2	0	BRAF_M2
BRAF_M2	0	TKI_2
CHEK1	0	CHEK1
Chloroquine	0	Chloroquine
BRAF_VEGFR2	0	BRAF_VEGFR2
CHK1	0	CHK1
CSNK2A1	0	CSNK2A1
CSNK2A1	0	CSNK2A1_2
ATM	0	ATM
ATM	0	PRKDC_2
ATM	0	FGFR4
ATM	0	PDGFR_Ab
ATM	0	TNKS_PARP6
ATM	0	IAP
ATM	0	TNFSF10
ATM	0	WNT
ATM	0	AR_1
ATM	0	CD19
ATM	0	PIP5K1
ATM	0	ADAM17
ATM	0	BRAF_M
ATM	0	IAP_2
ATM	0	AR
ATM	0	SLC16A4
CSNK2A1_2	0	CSNK2A1_2
EG5	0	EG5
EG5	0	FGFR4
EG5	0	PDGFR_Ab
EG5	0	TNKS_PARP6
EG5	0	IAP
EG5	0	TNFSF10
EG5	0	WNT
EG5	0	AR_1
EG5	0	CD19
EG5	0	PIP5K1
EG5	0	ADAM17
EG5	0	BRAF_M
EG5	0	IAP_2
EG5	0	AR
EG5	0	SLC16A4
EGFR	0	EGFR
EGFR	0	EGFR_2
EGFR	0	ERBB
EGFR	0	IGFR_4
EGFR	0	MTOR_1
EGFR	0	PIK3CB_PIK3CD
EGFR	0	TKI
EGFR	0	TTK
EGFR	0	VEGF
EGFR	0	FGFR4
EGFR	0	PIK3CB
EGFR	0	PDGFR_Ab
EGFR	0	TNKS_PARP6
EGFR	0	IAP
EGFR	0	TNFSF10
EGFR	0	WNT
EGFR	0	IGFR_3
EGFR	0	AR_1
EGFR	0	CD19
EGFR	0	ALK_2
EGFR	0	PIP5K1
EGFR	0	ADAM17
EGFR	0	BRAF_M
EGFR	0	IAP_2
EGFR	0	AR
EGFR	0	SLC16A4
EGFR_2	0	EGFR_2
EGFR_2	0	ERBB
EGFR_2	0	IGFR_2
EGFR_2	0	IGFR_4
EGFR_2	0	MET_ALK
EGFR_2	0	MTOR
EGFR_2	0	MTOR_1
EGFR_2	0	PARP1_2
EGFR_2	0	TKI
EGFR_2	0	SRC
EGFR_2	0	TTK
EGFR_2	0	VEGF
EGFR_2	0	FGFR4
EGFR_2	0	PDGFR_Ab
EGFR_2	0	TNKS_PARP6
EGFR_2	0	IAP
EGFR_2	0	TNFSF10
EGFR_2	0	WNT
EGFR_2	0	IGFR_3
EGFR_2	0	AR_1
EGFR_2	0	CD19
EGFR_2	0	ALK_2
EGFR_2	0	PIP5K1
EGFR_2	0	ADAM17
EGFR_2	0	BRAF_M
EGFR_2	0	IAP_2
EGFR_2	0	AR
EGFR_2	0	SLC16A4
Doxorubicin	0	Doxorubicin
ERBB	0	ERBB
ERBB	0	IGFR_2
ERBB	0	IGFR_4
ERBB	0	MET_ALK
ERBB	0	MTOR
ERBB	0	MTOR_1
ERBB	0	PARP1_2
ERBB	0	SYK
ERBB	0	TKI
ERBB	0	SRC
ERBB	0	TTK
ERBB	0	VEGF
ERBB	0	FGFR4
ERBB	0	PDGFR_Ab
ERBB	0	TNKS_PARP6
ERBB	0	IAP
ERBB	0	TNFSF10
ERBB	0	WNT
ERBB	0	IGFR_3
ERBB	0	AR_1
ERBB	0	CD19
ERBB	0	ALK_2
ERBB	0	PIP5K1
ERBB	0	ADAM17
ERBB	0	BRAF_M
ERBB	0	IAP_2
ERBB	0	AR
ERBB	0	SLC16A4
ESR1_2	0	ESR1_2
ESR1_2	0	ESR1_3
ESR1_2	0	ESR1
ESR1_3	0	ESR1_3
ESR1_3	0	ESR1
ESR1_1	0	ESR1_1
FGFR	0	FGFR
FGFR	0	FGFR4
FGFR	0	PDGFR_Ab
FGFR	0	TNKS_PARP6
FGFR	0	IAP
FGFR	0	TNFSF10
FGFR	0	WNT
FGFR	0	AR_1
FGFR	0	CD19
FGFR	0	ALK_2
FGFR	0	PIP5K1
FGFR	0	ADAM17
FGFR	0	BRAF_M
FGFR	0	IAP_2
FGFR	0	AR
FGFR	0	SLC16A4
Docetaxel	0	Docetaxel
Docetaxel	0	CarboTaxol
BCL2_BCL2L1	0	BCL2_BCL2L1
BCL2_BCL2L1	0	BCL2
BCL2_BCL2L1	0	BCL2L1
FNTA_FNTB	0	FNTA_FNTB
FASN	0	FASN
Gemcitibine	0	Gemcitibine
Gemcitibine	0	Gemcitabine
Gemcitabine	0	Gemcitabine
HDAC1_HDAC3	0	HDAC1_HDAC3
HDAC_4	0	HDAC_4
CarboTaxol	0	CarboTaxol
gSEC	0	gSEC
FOLFOX	0	FOLFOX
HSP90	0	HSP90
HSP90	0	VEGF
HSP90	0	FGFR4
HSP90	0	PDGFR_Ab
HSP90	0	TNKS_PARP6
HSP90	0	IAP
HSP90	0	TNFSF10
HSP90	0	WNT
HSP90	0	AR_1
HSP90	0	CD19
HSP90	0	PIP5K1
HSP90	0	ADAM17
HSP90	0	BRAF_M
HSP90	0	IAP_2
HSP90	0	AR
HSP90	0	SLC16A4
JAK	0	JAK
IGFR_2	0	IGFR_2
IGFR_2	0	IGFR_4
IGFR_2	0	MTOR
IGFR_2	0	MTOR_1
IGFR_2	0	SRC
IGFR_2	0	TTK
IGFR_2	0	FGFR4
IGFR_2	0	PDGFR_Ab
IGFR_2	0	TNKS_PARP6
IGFR_2	0	IAP
IGFR_2	0	TNFSF10
IGFR_2	0	WNT
IGFR_2	0	IGFR_3
IGFR_2	0	AR_1
IGFR_2	0	CD19
IGFR_2	0	ALK_2
IGFR_2	0	PIP5K1
IGFR_2	0	ADAM17
IGFR_2	0	BRAF_M
IGFR_2	0	IAP_2
IGFR_2	0	AR
IGFR_2	0	SLC16A4
IKBK	0	IKBK
IKBK	0	FGFR4
IKBK	0	PDGFR_Ab
IKBK	0	TNKS_PARP6
IKBK	0	IAP
IKBK	0	TNFSF10
IKBK	0	WNT
IKBK	0	AR_1
IKBK	0	CD19
IKBK	0	PIP5K1
IKBK	0	ADAM17
IKBK	0	BRAF_M
IKBK	0	IAP_2
IKBK	0	AR
IKBK	0	SLC16A4
IGFR_4	0	IGFR_4
IGFR_4	0	MTOR
IGFR_4	0	MTOR_1
IGFR_4	0	SRC
IGFR_4	0	TTK
IGFR_4	0	FGFR4
IGFR_4	0	PDGFR_Ab
IGFR_4	0	TNKS_PARP6
IGFR_4	0	IAP
IGFR_4	0	TNFSF10
IGFR_4	0	WNT
IGFR_4	0	IGFR_3
IGFR_4	0	AR_1
IGFR_4	0	CD19
IGFR_4	0	ALK_2
IGFR_4	0	PIP5K1
IGFR_4	0	ADAM17
IGFR_4	0	BRAF_M
IGFR_4	0	IAP_2
IGFR_4	0	AR
IGFR_4	0	SLC16A4
MAP2K_1	0	MAP2K_1
MET	0	MET
MAP2K_RAF	0	MAP2K_RAF
MAP2K	0	MAP2K
MAP2K	0	MAP2K_3
MAP2K	0	MAP2K_2
MET_ALK	0	MET_ALK
MET_ALK	0	FGFR4
MET_ALK	0	PDGFR_Ab
MET_ALK	0	TNKS_PARP6
MET_ALK	0	IAP
MET_ALK	0	TNFSF10
MET_ALK	0	WNT
MET_ALK	0	IGFR_3
MET_ALK	0	AR_1
MET_ALK	0	CD19
MET_ALK	0	ALK_2
MET_ALK	0	PIP5K1
MET_ALK	0	ADAM17
MET_ALK	0	BRAF_M
MET_ALK	0	IAP_2
MET_ALK	0	AR
MET_ALK	0	SLC16A4
MET_2	0	MET_2
MAP2K_3	0	MAP2K_3
MAP2K_3	0	MAP2K_2
MTOR	0	MTOR
MTOR	0	MTOR_1
MTOR	0	SRC
MTOR	0	TTK
MTOR	0	FGFR4
MTOR	0	PDGFR_Ab
MTOR	0	TNKS_PARP6
MTOR	0	IAP
MTOR	0	TNFSF10
MTOR	0	WNT
MTOR	0	IGFR_3
MTOR	0	AR_1
MTOR	0	CD19
MTOR	0	ALK_2
MTOR	0	PIP5K1
MTOR	0	ADAM17
MTOR	0	BRAF_M
MTOR	0	IAP_2
MTOR	0	AR
MTOR	0	SLC16A4
MTOR_4	0	MTOR_4
MTOR_1	0	MTOR_1
MTOR_1	0	PIK3CB_PIK3CD
MTOR_1	0	SRC
MTOR_1	0	TTK
MTOR_1	0	VEGF
MTOR_1	0	FGFR4
MTOR_1	0	PIK3CB
MTOR_1	0	PDGFR_Ab
MTOR_1	0	TNKS_PARP6
MTOR_1	0	IAP
MTOR_1	0	TNFSF10
MTOR_1	0	WNT
MTOR_1	0	IGFR_3
MTOR_1	0	AR_1
MTOR_1	0	CD19
MTOR_1	0	ALK_2
MTOR_1	0	PIP5K1
MTOR_1	0	ADAM17
MTOR_1	0	BRAF_M
MTOR_1	0	IAP_2
MTOR_1	0	AR
MTOR_1	0	SLC16A4
NAE	0	NAE
NAE	0	FGFR4
NAE	0	PDGFR_Ab
NAE	0	TNKS_PARP6
NAE	0	IAP
NAE	0	TNFSF10
NAE	0	WNT
NAE	0	AR_1
NAE	0	CD19
NAE	0	PIP5K1
NAE	0	ADAM17
NAE	0	BRAF_M
NAE	0	IAP_2
NAE	0	AR
NAE	0	SLC16A4
Oxaliplatin	0	Oxaliplatin
PARP1	0	PARP1
PARP1	0	PARP1_2
PARP1	0	FGFR4
PARP1	0	PDGFR_Ab
PARP1	0	TNKS_PARP6
PARP1	0	IAP
PARP1	0	TNFSF10
PARP1	0	WNT
PARP1	0	IGFR_3
PARP1	0	AR_1
PARP1	0	CD19
PARP1	0	ALK_2
PARP1	0	PIP5K1
PARP1	0	ADAM17
PARP1	0	BRAF_M
PARP1	0	IAP_2
PARP1	0	AR
PARP1	0	SLC16A4
PARP1_2	0	PARP1_2
PARP1_2	0	FGFR4
PARP1_2	0	PDGFR_Ab
PARP1_2	0	TNKS_PARP6
PARP1_2	0	IAP
PARP1_2	0	TNFSF10
PARP1_2	0	WNT
PARP1_2	0	IGFR_3
