CELL_LINE,COMPOUND_A,COMPOUND_B,COMBINATION_ID
CAMA-1,PTK2_2,TOP2,PTK2_2.TOP2
CAMA-1,PTK2_2,AKT,PTK2_2.AKT
CAMA-1,PTK2_2,PIK3C_MTOR_2,PTK2_2.PIK3C_MTOR_2
CAMA-1,TOP2,AKT,TOP2.AKT
CAMA-1,TOP2,PIK3C_MTOR_2,TOP2.PIK3C_MTOR_2
CAMA-1,AKT,PIK3C_MTOR_2,AKT.PIK3C_MTOR_2
SW948,PTK2_2,TOP2,PTK2_2.TOP2
SW948,PTK2_2,AKT,PTK2_2.AKT
SW948,PTK2_2,PIK3C_MTOR_2,PTK2_2.PIK3C_MTOR_2
SW948,TOP2,AKT,TOP2.AKT
SW948,TOP2,PIK3C_MTOR_2,TOP2.PIK3C_MTOR_2
SW948,AKT,PIK3C_MTOR_2,AKT.PIK3C_MTOR_2
VCaP,PTK2_2,TOP2,PTK2_2.TOP2
VCaP,PTK2_2,AKT,PTK2_2.AKT
VCaP,PTK2_2,PIK3C_MTOR_2,PTK2_2.PIK3C_MTOR_2
VCaP,TOP2,AKT,TOP2.AKT
VCaP,TOP2,PIK3C_MTOR_2,TOP2.PIK3C_MTOR_2
VCaP,AKT,PIK3C_MTOR_2,AKT.PIK3C_MTOR_2
