"CELL_LINE","COMPOUND_A","COMPOUND_B","MAX_CONC_A","MAX_CONC_B","IC50_A","H_A","Einf_A","IC50_B","H_B","Einf_B","SYNERGY_SCORE","QA","COMBINATION_ID"
"CAMA-1","ADAM17","AKT","1","75",0.126186031,0.993706,3.68853309,1,0,100,NA,1,"ADAM17.AKT"
"HCC1395","ADAM17","AKT","1","75",0.910569104,0.5524507,0,10.90541026,0.2396414,82.74087558,NA,1,"ADAM17.AKT"
"Hs-578-T","ADAM17","AKT","1","75",1,0.2589885,17.70170573,0.540880381,4.8514643,73.49569225,NA,1,"ADAM17.AKT"
"MDA-MB-157","ADAM17","AKT","1","75",1,0.2156963,5.09535607,0.010219416,0.2279368,52.12146001,NA,1,"ADAM17.AKT"
"MDA-MB-468","ADAM17","AKT","1","75",0.509420365,0.9414944,26.82775893,7.328495755,10,94.79989665,NA,1,"ADAM17.AKT"
"MFM-223","ADAM17","AKT","1","75",0.226296745,1.952148,17.4777978,1,0,100,NA,1,"ADAM17.AKT"
"CAL-120","ADAM17","BCL2_BCL2L1","1","75",0.094510471,1.5326792,44.19236299,1,0,100,NA,1,"ADAM17.BCL2_BCL2L1"
"CAL-51","ADAM17","BCL2_BCL2L1","1","75",1,0.5285235,75.60857726,75,0.5435993,83.52707301,NA,1,"ADAM17.BCL2_BCL2L1"
"HCC1187","ADAM17","BCL2_BCL2L1","1","75",1,0,100,75,10,7.40038628,NA,1,"ADAM17.BCL2_BCL2L1"
"HCC1428","ADAM17","BCL2_BCL2L1","1","75",0.107896808,1.2636084,9.38694058,1,0,100,NA,1,"ADAM17.BCL2_BCL2L1"
"HCC38","ADAM17","BCL2_BCL2L1","1","75",0.180961191,2.4548059,9.27728694,1,0,100,NA,1,"ADAM17.BCL2_BCL2L1"
"MDA-MB-453","ADAM17","BCL2_BCL2L1","1","75",0.277638917,1.7058909,65.52130444,75,2.2416066,59.56357505,NA,1,"ADAM17.BCL2_BCL2L1"
"M14","ADAM17","BCL2_BCL2L1","1","75",0.076176901,0.6038152,5.98293541,1,0,100,NA,1,"ADAM17.BCL2_BCL2L1"
"BT-20","ADAM17","FGFR","1","75",0.923744362,1.373009,71.77382732,75,0.597909,83.13892821,NA,1,"ADAM17.FGFR"
"CAL-51","ADAM17","FGFR","1","75",1,0.3284473,80.73129382,9.202283018,0.9382014,88.19097511,NA,1,"ADAM17.FGFR"
"CAMA-1","ADAM17","FGFR","1","75",1,0.6988466,67.49730353,0.0075,0.1,92.97320008,NA,1,"ADAM17.FGFR"
"HCC1428","ADAM17","FGFR","1","75",1,0,100,1,0,100,NA,1,"ADAM17.FGFR"
"HCC1806","ADAM17","FGFR","1","75",1,0,100,1,0,100,NA,1,"ADAM17.FGFR"
"MFM-223","ADAM17","FGFR","1","75",0.144983698,0.3135629,0,1,0,100,NA,1,"ADAM17.FGFR"
"BT-20","ADAM17","MAP2K_1","1","75",0.709352816,0.3839718,19.09751838,25.24929336,0.5522106,80.24277389,NA,1,"ADAM17.MAP2K_1"
"HCC1806","ADAM17","MAP2K_1","1","75",0.417210558,0.823552,2.38123445,1,0,100,NA,1,"ADAM17.MAP2K_1"
"HCC70","ADAM17","MAP2K_1","1","75",0.031874888,10,81.29991242,1,0,100,NA,1,"ADAM17.MAP2K_1"
"MDA-MB-231","ADAM17","MAP2K_1","1","75",0.867004963,0.6937574,0,75,0.5597011,83.15479599,NA,1,"ADAM17.MAP2K_1"
"MDA-MB-468","ADAM17","MAP2K_1","1","75",0.081245641,1.227379,92.48835148,1,0,100,NA,1,"ADAM17.MAP2K_1"
"MFM-223","ADAM17","MAP2K_1","1","75",1,0,100,1.245928241,10,94.72509452,NA,1,"ADAM17.MAP2K_1"
"M14","ADAM17","MAP2K_1","1","75",0.181992527,1.1706174,19.48168308,75,0.2312214,65.85532556,NA,1,"ADAM17.MAP2K_1"
"CAL-148","ADAM17","MTOR_1","1","75",0.319075786,10,74.89970424,1,0,100,NA,1,"ADAM17.MTOR_1"
