CELL_LINE,COMBINATION_ID,SYNERGY_SCORE,PREDICTION,ERROR,ERROR_NORM
CAMA-1,ERBB.MAP2K_1,11.67747,14.7582833122,-3.0808133122,-0.263825410144
KU-19-19,BCL2_BCL2L1.MAP2K_1,-19.18569,-27.5950052951,8.4093152951,-0.438311850921
TCCSUP,MTOR_1.PIK3C,9.250581,15.3870481871,-6.1364671871,-0.663360191873
MDA-MB-361,Chloroquine.FGFR,-5.803738,13.855498349,-19.659236349,3.38734042595
M14,EGFR.MAP2K_1,32.81099,6.27742416513,26.5335658349,0.808679221044
HCC1806,BCL2_BCL2L1.SLC16A4,-16.43859,5.37735465863,-21.8159446586,1.32711775515
HCT-116,BCL2.Oxaliplatin,45.0912,-139.652534086,184.743734086,4.09711283102
NCI-H838,ALK.MTOR_1,56.10523,37.6634927723,18.4417372277,0.328699075428
NCI-H2228,BCL2.Topotecan,21.5562,3.22025640815,18.3359435919,0.850611127743
BT-20,ESR1_1.PIK3C,47.01936,18.5191895723,28.5001704277,0.606136928016
CAL-148,ERBB.MAP2K_1,36.9506,-8.06571554779,45.0163155478,1.21828375041
VM-CUB-1,ERBB.MAP2K_1,67.79423,-13.4891392737,81.2833692737,1.19897178969
BT-20,PARP1.PIK3C,22.76175,23.3655153654,-0.6037653654,-0.0265254369897
MDA-MB-361,FGFR.Proteasome_2,-10.20944,8.11441345737,-18.3238534574,1.79479515599
MDA-MB-436,PIK3C.PIP5K1,-10.67725,0.823557165173,-11.5008071652,1.07713195487
HT-1197,AKT.TNF,35.02862,56.5853445728,-21.5567245728,-0.615403192384
T-24,PARP1.PIK3CB_PIK3CD,0.276685,6.64091206751,-6.36422706751,-23.001706155
NCI-H358,CHEK1.IAP,34.8975,11.1140181939,23.7834818061,0.681523943151
HT-29,MAP2K_1.TKI,65.47378,44.6018259034,20.8719540966,0.318783398432
HT-1376,EG5.PARP1,-1.325124,-6.3220518034,4.9969278034,-3.77091336615
MDA-MB-157,ERBB.FGFR,39.6997,29.2671532673,10.4325467327,0.262786538253
HCC1937,AKT.ALK_IGFR,13.64358,25.2935379895,-11.6499579895,-0.853878380125
HCC1428,FGFR.TNKS_PARP6,-3.187302,-3.91192526989,0.72462326989,-0.227346912809
EVSA-T,ATR_4.CarboTaxol,42.2006,-14.117056094,56.317656094,1.33452263935
CAL-120,AKT_1.ALK_IGFR,-10.4865,28.6112005951,-39.0977005951,3.72838416966
HCC1806,PARP1.PIK3CB_PIK3CD,21.40489,13.871900899,7.532989101,0.351928419207
BFTC-905,AKT.TNF,108.1946,56.2564807768,51.9381192232,0.480043543977
MDA-MB-157,PIK3C.PIP5K1,-17.13851,17.4133021856,-34.5518121856,2.01603361002
HT-1376,PARP1.PIK3CB_PIK3CD,12.15362,9.85231752835,2.30130247165,0.189351195088
BT-20,BCL2_BCL2L1.PIM1,21.39337,3.46452592882,17.9288440712,0.838056092667
MDA-MB-453,ESR1_1.MTOR_1,20.34692,3.17760099425,17.1693190058,0.843828894287
NCI-H838,ATR_4.IAP,2.041987,11.2574208307,-9.2154338307,-4.51297379988
NCI-H3122,BRAF_M2.MAP2K_1,110.5551,25.3048777322,85.2502222678,0.771110715542
HCC1428,ERBB.MTOR_1,5.157013,-6.81881445517,11.9758274552,2.32224108319
T47D,AKT.Chloroquine,10.65468,-12.9826173569,23.6372973569,2.21848965496
NCI-H1793,ADAM17.PIK3C,53.52265,23.025477814,30.497172186,0.569799368791
SW780,HSP90.MAP2K_1,26.17331,-8.18032903999,34.35363904,1.31254468923
MDA-MB-157,AKT_1.EGFR,13.6794,30.0116632041,-16.3322632041,-1.19393125459
J82,EG5.PARP1,5.014957,3.52090891986,1.49404808014,0.297918422858
BT-20,MAP2K_1.MTOR_1,41.27628,17.9052735307,23.3710064693,0.566209127114
HT-1197,ATR_4.IAP,21.26834,7.067945819,14.200394181,0.667677598769
HT-1376,HSP90.MAP2K_1,9.661712,6.76388444759,2.89782755241,0.299928993165
CAL-148,AKT.PIK3CA_4,9.595285,-2.60208184076,12.1973668408,1.27118338233
NCI-H3122,CSNK2A1_2.SYK,-41.06185,-8.52259650018,-32.5392534998,0.792444897145
MDA-MB-361,ESR1_1.MTOR_1,36.65196,18.7480998695,17.9038601305,0.488483020567
T-24,HSP90.MAP2K_1,29.87212,0.989071709133,28.8830482909,0.966889805306
MDA-MB-453,AKT.CSNK2A1_2,31.0332,3.46554845394,27.5676515461,0.888327711807
DU-4475,AKT_SGK.MAP2K_1,7.070362,-0.639751966154,7.71011396615,1.0904836225
HCC1395,ADAM17.MTOR_1,3.001454,-0.388613636735,3.39006763674,1.12947512663
CAL-51,ADAM17.MAP2K_1,-6.322157,5.60670343789,-11.9288604379,1.88683394574
DU-4475,FGFR.SLC16A4,-27.75176,-9.22297049355,-18.5287895064,0.667661780963
HCC1395,MAP2K_1.SLC16A4,23.11047,5.21613660609,17.8943333939,0.774295520338
SW948,CHEK1.IAP,3.343275,11.9361017251,-8.5928267251,-2.57018244838
HCC1187,ERBB.MTOR_1,-48.76037,3.17121598433,-51.9315859843,1.06503674981
HCT-116,CHEK1.IAP,14.51519,-64.7801006664,79.2952906664,5.46291785822
NCI-H520,IAP.PIK3C,21.10739,6.61994077271,14.4874492273,0.68636857647
MDA-MB-157,ADAM17.MAP2K_1,15.84889,17.364323644,-1.515433644,-0.0956176517094
NCI-H23,ATR_4.CarboTaxol,-26.63165,-22.5604010514,-4.0712489486,0.152872576374
HCC1500,ESR1_3.MTOR_1,25.79427,9.87499941732,15.9192705827,0.617163059186
MDA-MB-468,AKT.PIK3C_2,3.043114,21.4477133576,-18.4045993576,-6.04794935635
NCI-H23,IAP.PIK3CB,43.32574,5.96002268341,37.3657173166,0.862436909712
CAL-148,AKT.ATR_4,10.17878,-10.2983536849,20.4771336849,2.01174734938
HCC70,AKT_1.PIK3C,-4.891449,17.3043047613,-22.1957537613,4.53766435289
T-24,MAP2K_1.MTOR_1,30.88296,2.17788889744,28.7050711026,0.929479269557
MFM-223,ALK_IGFR.PIK3CB_PIK3CD,14.87154,16.0818717319,-1.2103317319,-0.0813857698597
NCI-H1563,CSNK2A1_2.TNFSF10,0.963779,-8.94876334508,9.91254234508,10.2850781612
M14,MTOR_1.PIK3CA_4,-11.71238,-0.44329775883,-11.2690822412,0.962151351064
C32,IGFR_4.MAP2K_1,5.074641,20.6817964751,-15.6071554751,-3.07551913034
NCI-H1437,BRAF_M2.MAP2K_1,11.02952,29.1848575822,-18.1553375822,-1.64606778737
NCI-H1563,Carboplatin.CSNK2A1_2,14.53352,2.87725979441,11.6562602056,0.802025951427
NCI-H3122,BCL2.CSNK2A1_2,-11.98931,3.11574442319,-15.1050544232,1.25987687558
SW620,IGFR_4.MAP2K_1,56.40071,31.847188851,24.553521149,0.435340639311
NCI-H226,BCL2L1.CarboTaxol,36.85192,32.1658570112,4.6860629888,0.12715926304
MDA-MB-468,AKT_SGK.BCL2_BCL2L1,18.89769,17.1631266441,1.7345633559,0.0917870573546
BT-20,AKT_1.BCL2_BCL2L1,17.04246,9.34166607516,7.70079392484,0.451859292898
NCI-H520,FGFR.MTOR_1,73.34624,6.95351332921,66.3927266708,0.905196049188
NCI-H3122,ALK.PIK3C,23.94169,17.2653247319,6.6763652681,0.278859398317
M14,FGFR.TNKS_PARP6,3.64321,-0.905328652067,4.54853865207,1.24849752061
NCI-H23,ALK.CSNK2A1_2,30.48773,25.8456439085,4.6420860915,0.152260797754
NCI-H1563,BCL2L1.Vinorelbine,-32.91013,-9.10429821148,-23.8058317885,0.723358789179
HCC1143,PIK3CB_PIK3CD.SLC16A4,3.361126,-1.47596951059,4.83709551059,1.4391294794
DMS-114,FGFR.Proteasome_2,-23.64164,-3.40739541694,-20.2342445831,0.85587313668
NCI-H2085,ADAM17.PIK3C,36.53175,11.6890074012,24.8427425988,0.680031550605
T-24,Cisplatin.HDAC_4,-20.1918,-10.0187801001,-10.1730198999,0.503819367263
BT-20,AKT_1.PIK3CB_PIK3CD,1.851047,29.8053464268,-27.9542994268,-15.1018852718
HCC1395,FASN.MTOR_1,-0.7101762,-3.9814953264,3.2713191264,-4.60634857434
CAL-148,AKT.FGFR,-4.114951,-6.97711896694,2.86216796694,-0.695553353355
NCI-H2170,BRAF_M2.MAP2K_3,-3.907671,56.4764299656,-60.3841009656,15.4527085227
TCCSUP,ATM.Gemcitabine,16.46099,13.2610780435,3.1999119565,0.194393651688
BT-549,ERBB.FGFR,9.494321,0.465141853412,9.02917914659,0.951008412986
MDA-MB-453,ALK_IGFR.PIK3CB_PIK3CD,-4.536145,8.00094369958,-12.5370886996,2.76382009384
DU-4475,AKT_SGK.FGFR,-35.27396,-3.81420714407,-31.4597528559,0.891869040389
NCI-H1437,CSNK2A1_2.Gemcitabine,-23.36822,7.06538802161,-30.4336080216,1.30235028691
HCC1187,AKT_SGK.PIK3C,31.26614,9.3414056336,21.9247343664,0.701229328801
HCC1143,AKT_1.BCL2_BCL2L1,6.718205,-10.826810239,17.545015239,2.61156294561
SW837,IAP.IGFR_4,46.17249,18.5341042966,27.6383857034,0.598589889854
NCI-H520,ALK.CSNK2A1_2,-8.59929,16.6026372686,-25.2019272686,2.93069861216
UM-UC-3,PIK3C.TNFSF10,3.792637,6.08002890409,-2.28739190409,-0.603113850361
CAL-51,EGFR.MAP2K_1,3.35151,6.34783819669,-2.99632819669,-0.894023349681
SW900,Carboplatin.CSNK2A1_2,-14.667,9.19007368291,-23.8570736829,1.62658169243
MDA-MB-468,AKT.ERBB,74.66898,79.1465001637,-4.4775201637,-0.0599649300647
MDA-MB-436,BRAF_M2.MAP2K_1,85.6308,24.6521241706,60.9786758294,0.712111481259
NCI-H1563,BCL2.Topotecan,22.12613,-3.24864695132,25.3747769513,1.14682400182
NCI-H520,BCL2L1.Vinorelbine,-58.19742,15.8417518864,-74.0391718864,1.27220711651
MDA-MB-231,ATR_4.MTOR_1,-29.82461,-6.18209681635,-23.6425131836,0.792718268023
M14,PIK3C_2.PIK3CA_4,-1.968565,-2.54524358568,0.57667858568,-0.292943634414
SW837,MAP2K_1.PIK3C,57.38142,35.9947609015,21.3866590985,0.372710523694
CAMA-1,ATR_4.MTOR_1,-40.55575,-7.03338028325,-33.5223697168,0.826575016286
T-24,ERBB.IAP,-18.59214,10.2795307266,-28.8716707266,1.55289658569
HCC1395,BCL2_BCL2L1.MAP2K_1,-2.01211,5.76878603053,-7.78089603053,3.86703312966
EVSA-T,BCL2L1.PIK3C,-1.924536,12.6759565411,-14.6004925411,7.58650009202
CAL-120,ATR_4.MTOR_1,-12.79242,-7.13894908042,-5.65347091958,0.441939126419
HCC1937,ESR1.MAP2K_1,3.267776,4.42488912252,-1.15711312252,-0.354098054004
HCC1187,MAP2K_1.SLC16A4,18.44811,5.01281833707,13.4352916629,0.728274693881
HCC70,ADAM17.FGFR,-14.909,-13.3318899102,-1.5771100898,0.105782419331
HCC1428,AKT.PIP5K1,-1.395562,-8.73491870866,7.33935670866,-5.25906889745
HCC1395,BCL2_BCL2L1.EGFR,25.22752,2.4036849295,22.8238350705,0.904719729506
NCI-H747,BCL2.Oxaliplatin,-15.57034,3.50488566422,-19.0752256642,1.22510013681
J82,PARP1.PIK3CB_PIK3CD,9.786006,17.4960793043,-7.7100733043,-0.787867216135
NCI-H520,BRAF_M2.MAP2K_1,44.14604,25.5950074667,18.5510325333,0.420219628608
NCI-H522,ATR_4.IAP,-1.666716,22.1387102906,-23.8054262906,14.2828330025
Hs-578-T,AKT_SGK.FGFR,35.58254,7.58418660701,27.998353393,0.786856514262
MDA-MB-175-VII,AKT.Chloroquine,-72.85194,-48.4271267167,-24.4248132833,0.335266477232
HCC1428,FASN.MAP2K_1,-7.004386,-0.253257216539,-6.75112878346,0.963843052548
HCT-116,IAP.SN38,-44.40489,-65.4393971174,21.0345071174,-0.47369798951
MDA-MB-231,ATR_4.BCL2_BCL2L1,-29.93607,9.55827647613,-39.4943464761,1.31928962206
HCC1937,ATR_4.MAP2K_1,-37.8388,8.80225500238,-46.6410550024,1.23262510974
