CELL_LINE,COMPOUND_A,COMPOUND_B,MAX_CONC_A,MAX_CONC_B,IC50_A,H_A,Einf_A,IC50_B,H_B,Einf_B,SYNERGY_SCORE,QA,COMBINATION_ID,MARK
BT-20,ADAM17,AKT,1.0,75.0,1.0,0.8090022,59.12243638,9.639713632,0.7579769,91.59342459,29.54039,1,ADAM17.AKT,TRAINSET
CAL-120,ADAM17,AKT,1.0,75.0,0.183214322,2.5036777,60.41199948,1.0,0.0,100.0,4.40141,-1,ADAM17.AKT,TRAINSET
CAL-51,ADAM17,AKT,1.0,75.0,1.0,0.7269842,11.15084267,75.0,0.3750427,76.65647869,0.3154222,1,ADAM17.AKT,TRAINSET
DU-4475,ADAM17,AKT,1.0,75.0,0.321533382,10.0,58.59948747,75.0,1.9958658,6.17100653,-41.73409,-1,ADAM17.AKT,TRAINSET
HCC1143,ADAM17,AKT,1.0,75.0,0.398673201,10.0,89.09889359,1.0,0.0,100.0,35.53277,-1,ADAM17.AKT,TRAINSET
HCC1187,ADAM17,AKT,1.0,75.0,0.410029094,1.4969009,51.9212647,1.0,0.0,100.0,-0.801993,1,ADAM17.AKT,TRAINSET
HCC1428,ADAM17,AKT,1.0,75.0,1.0,0.0,100.0,1.0,0.0,100.0,-26.50464,-1,ADAM17.AKT,TRAINSET
HCC1806,ADAM17,AKT,1.0,75.0,0.313992099,10.0,63.39963528,75.0,0.39257,48.6500541,-26.73325,1,ADAM17.AKT,TRAINSET
HCC1937,ADAM17,AKT,1.0,75.0,1.0,0.7718302,41.52955424,1.677923529,1.1194872,92.18802938,32.16552,1,ADAM17.AKT,TRAINSET
HCC70,ADAM17,AKT,1.0,75.0,0.273313342,4.4425604,17.44189655,1.0,0.0,100.0,8.31689,1,ADAM17.AKT,TRAINSET
MDA-MB-231,ADAM17,AKT,1.0,75.0,1.0,10.0,67.00001656,1.0,0.0,100.0,13.21102,1,ADAM17.AKT,TRAINSET
MDA-MB-436,ADAM17,AKT,1.0,75.0,0.180147182,3.0950757,75.7680796,1.0,0.0,100.0,-4.212955,1,ADAM17.AKT,TRAINSET
MDA-MB-453,ADAM17,AKT,1.0,75.0,0.282663543,2.2634551,34.21972294,1.0,0.0,100.0,16.0498,1,ADAM17.AKT,TRAINSET
M14,ADAM17,AKT,1.0,75.0,0.276412346,3.7493134,36.29259006,0.0075,0.1,83.93705267,30.52659,1,ADAM17.AKT,TRAINSET
BT-549,ADAM17,BCL2_BCL2L1,1.0,75.0,0.0001,0.1,79.2327182,0.0075,0.1,90.99552485,-7.039191,1,ADAM17.BCL2_BCL2L1,TRAINSET
CAL-148,ADAM17,BCL2_BCL2L1,1.0,75.0,0.288908489,3.871862,35.47973076,1.0,0.0,100.0,-17.5228,-1,ADAM17.BCL2_BCL2L1,TRAINSET
CAMA-1,ADAM17,BCL2_BCL2L1,1.0,75.0,1.0,0.3516074,65.8142818,0.0075,0.1,92.50811196,3.764896,1,ADAM17.BCL2_BCL2L1,TRAINSET
DU-4475,ADAM17,BCL2_BCL2L1,1.0,75.0,0.008056722,10.0,0.07495373,37.43606425,1.3723419,30.85452463,3.335391,1,ADAM17.BCL2_BCL2L1,TRAINSET
HCC1395,ADAM17,BCL2_BCL2L1,1.0,75.0,1.0,0.1410164,86.38158091,75.0,10.0,94.60023707,-1.784113,1,ADAM17.BCL2_BCL2L1,TRAINSET
HCC1806,ADAM17,BCL2_BCL2L1,1.0,75.0,1.0,0.0,100.0,1.0,0.0,100.0,2.537269,1,ADAM17.BCL2_BCL2L1,TRAINSET
HCC70,ADAM17,BCL2_BCL2L1,1.0,75.0,1.0,0.0,100.0,1.0,0.0,100.0,-12.64301,1,ADAM17.BCL2_BCL2L1,TRAINSET
MDA-MB-157,ADAM17,BCL2_BCL2L1,1.0,75.0,0.333916014,0.6913991,76.91744732,0.0075,4.2347996,90.9,-2.891425,1,ADAM17.BCL2_BCL2L1,TRAINSET
MDA-MB-231,ADAM17,BCL2_BCL2L1,1.0,75.0,0.715984947,0.8847617,38.57026538,1.0,0.0,100.0,-0.9071024,1,ADAM17.BCL2_BCL2L1,TRAINSET
MDA-MB-436,ADAM17,BCL2_BCL2L1,1.0,75.0,1.0,10.0,76.00006623,1.0,0.0,100.0,-1.782822,1,ADAM17.BCL2_BCL2L1,TRAINSET
MDA-MB-468,ADAM17,BCL2_BCL2L1,1.0,75.0,1.0,0.505492,25.21283178,1.0,0.0,100.0,-8.476032,1,ADAM17.BCL2_BCL2L1,TRAINSET
MFM-223,ADAM17,BCL2_BCL2L1,1.0,75.0,0.351511036,10.0,61.79889402,1.0,0.0,100.0,-11.2459,1,ADAM17.BCL2_BCL2L1,TRAINSET
BT-549,ADAM17,FGFR,1.0,75.0,0.055009017,0.4464461,54.09263958,0.0075,0.1,83.55205894,-11.91837,1,ADAM17.FGFR,TRAINSET
CAL-120,ADAM17,FGFR,1.0,75.0,0.311347383,10.0,78.19974973,1.0,0.0,100.0,11.66448,-1,ADAM17.FGFR,TRAINSET
CAL-148,ADAM17,FGFR,1.0,75.0,1.0,0.0,100.0,1.0,0.0,100.0,-48.27499,-1,ADAM17.FGFR,TRAINSET
HCC1143,ADAM17,FGFR,1.0,75.0,1.0,0.0,100.0,0.0075,0.1,92.4045839,14.43257,1,ADAM17.FGFR,TRAINSET
HCC1395,ADAM17,FGFR,1.0,75.0,0.013427301,1.5466845,47.80606311,75.0,10.0,94.0002773,3.629126,1,ADAM17.FGFR,TRAINSET
HCC1937,ADAM17,FGFR,1.0,75.0,0.038940144,0.1,94.04001436,75.0,0.3084867,89.76930453,13.61246,1,ADAM17.FGFR,TRAINSET
HCC38,ADAM17,FGFR,1.0,75.0,0.023901169,3.7962899,85.60681542,1.0,0.0,100.0,3.676564,1,ADAM17.FGFR,TRAINSET
MDA-MB-157,ADAM17,FGFR,1.0,75.0,0.027859574,1.8030787,33.76023053,4.23547316,0.6425969,92.78937105,17.46127,1,ADAM17.FGFR,TRAINSET
MDA-MB-231,ADAM17,FGFR,1.0,75.0,1.0,0.0,100.0,1.0,0.0,100.0,-7.882297,1,ADAM17.FGFR,TRAINSET
MDA-MB-436,ADAM17,FGFR,1.0,75.0,1.0,3.0097488,82.01368751,2.089503643,2.383122,94.16472965,-18.15411,1,ADAM17.FGFR,TRAINSET
