CELL_LINE,COMBINATION_ID,OBSERVATION
BT-20,ADAM17.AKT,29.54039
CAL-120,ADAM17.AKT,4.40141
CAL-51,ADAM17.AKT,0.3154222
DU-4475,ADAM17.AKT,-41.73409
HCC1143,ADAM17.AKT,35.53277
HCC1187,ADAM17.AKT,-0.801993
HCC1428,ADAM17.AKT,-26.50464
HCC1806,ADAM17.AKT,-26.73325
HCC1937,ADAM17.AKT,32.16552
HCC70,ADAM17.AKT,8.31689
MDA-MB-231,ADAM17.AKT,13.21102
MDA-MB-436,ADAM17.AKT,-4.212955
MDA-MB-453,ADAM17.AKT,16.0498
M14,ADAM17.AKT,30.52659
BT-549,ADAM17.BCL2_BCL2L1,-7.039191
CAL-148,ADAM17.BCL2_BCL2L1,-17.5228
CAMA-1,ADAM17.BCL2_BCL2L1,3.764896
DU-4475,ADAM17.BCL2_BCL2L1,3.335391
HCC1395,ADAM17.BCL2_BCL2L1,-1.784113
HCC1806,ADAM17.BCL2_BCL2L1,2.537269
HCC70,ADAM17.BCL2_BCL2L1,-12.64301
MDA-MB-157,ADAM17.BCL2_BCL2L1,-2.891425
MDA-MB-231,ADAM17.BCL2_BCL2L1,-0.9071024
MDA-MB-436,ADAM17.BCL2_BCL2L1,-1.782822
MDA-MB-468,ADAM17.BCL2_BCL2L1,-8.476032
MFM-223,ADAM17.BCL2_BCL2L1,-11.2459
BT-549,ADAM17.FGFR,-11.91837
CAL-120,ADAM17.FGFR,11.66448
CAL-148,ADAM17.FGFR,-48.27499
HCC1143,ADAM17.FGFR,14.43257
HCC1395,ADAM17.FGFR,3.629126
HCC1937,ADAM17.FGFR,13.61246
HCC38,ADAM17.FGFR,3.676564
MDA-MB-157,ADAM17.FGFR,17.46127
MDA-MB-231,ADAM17.FGFR,-7.882297
MDA-MB-436,ADAM17.FGFR,-18.15411
MDA-MB-453,ADAM17.FGFR,-31.0305
MDA-MB-468,ADAM17.FGFR,-30.44405
M14,ADAM17.FGFR,-32.69373
BT-549,ADAM17.MAP2K_1,-0.1462845
CAL-120,ADAM17.MAP2K_1,-42.75347
CAL-148,ADAM17.MAP2K_1,-9.994246
CAMA-1,ADAM17.MAP2K_1,-1.800398
DU-4475,ADAM17.MAP2K_1,13.91472
HCC1143,ADAM17.MAP2K_1,16.41538
HCC1187,ADAM17.MAP2K_1,-15.21563
HCC1395,ADAM17.MAP2K_1,5.722309
HCC1937,ADAM17.MAP2K_1,11.9905
HCC38,ADAM17.MAP2K_1,5.742608
Hs-578-T,ADAM17.MAP2K_1,-20.70996
MDA-MB-436,ADAM17.MAP2K_1,0.01351545
MDA-MB-453,ADAM17.MAP2K_1,-41.87792
BT-20,ADAM17.MTOR_1,18.30981
CAL-120,ADAM17.MTOR_1,2.971336
CAMA-1,ADAM17.MTOR_1,-10.6617
DU-4475,ADAM17.MTOR_1,28.03853
HCC1143,ADAM17.MTOR_1,6.215895
HCC1187,ADAM17.MTOR_1,-5.601741
HCC1395,ADAM17.MTOR_1,3.001454
HCC1428,ADAM17.MTOR_1,5.565547
HCC1806,ADAM17.MTOR_1,48.54537
HCC38,ADAM17.MTOR_1,1.089017
MDA-MB-231,ADAM17.MTOR_1,13.15388
MDA-MB-436,ADAM17.MTOR_1,6.743824
MDA-MB-453,ADAM17.MTOR_1,-11.08194
M14,ADAM17.MTOR_1,28.46191
CAL-120,ADAM17.PIK3C,-27.5289
CAL-148,ADAM17.PIK3C,8.840474
CAMA-1,ADAM17.PIK3C,-7.76057
HCC1143,ADAM17.PIK3C,17.38199
HCC1806,ADAM17.PIK3C,80.9991
HCC70,ADAM17.PIK3C,36.66062
Hs-578-T,ADAM17.PIK3C,-3.101995
MDA-MB-157,ADAM17.PIK3C,34.97328
MDA-MB-231,ADAM17.PIK3C,5.78087
MDA-MB-453,ADAM17.PIK3C,11.19242
MDA-MB-468,ADAM17.PIK3C,-11.91822
MFM-223,ADAM17.PIK3C,2.272833
M14,ADAM17.PIK3C,37.07141
CAL-148,ADAM17.PIK3CB_PIK3CD,-22.06479
HCC1143,ADAM17.PIK3CB_PIK3CD,34.24538
HCC1187,ADAM17.PIK3CB_PIK3CD,3.157859
HCC1395,ADAM17.PIK3CB_PIK3CD,10.67811
HCC1428,ADAM17.PIK3CB_PIK3CD,8.341717
HCC1806,ADAM17.PIK3CB_PIK3CD,2.673332
HCC38,ADAM17.PIK3CB_PIK3CD,12.29698
Hs-578-T,ADAM17.PIK3CB_PIK3CD,8.182737
MDA-MB-157,ADAM17.PIK3CB_PIK3CD,4.985632
MDA-MB-468,ADAM17.PIK3CB_PIK3CD,13.55083
MFM-223,ADAM17.PIK3CB_PIK3CD,-15.22839
M14,ADAM17.PIK3CB_PIK3CD,31.87283
CAMA-1,AKT.AKT_1,13.01508
MDA-MB-175-VII,AKT.AKT_1,-62.45628
UACC-812,AKT.AKT_1,26.35574
BFTC-905,AKT.ATR_4,-14.1991
HT-1197,AKT.ATR_4,-12.90671
HT-1376,AKT.ATR_4,6.599677
J82,AKT.ATR_4,1.473032
KU-19-19,AKT.ATR_4,-110.0582
SW780,AKT.ATR_4,-10.00055
T-24,AKT.ATR_4,-26.02004
TCCSUP,AKT.ATR_4,-9.940468
Calu-3,AKT.CSNK2A1_2,-29.08981
Calu-6,AKT.CSNK2A1_2,73.02446
DMS-114,AKT.CSNK2A1_2,2.965218
NCI-H1437,AKT.CSNK2A1_2,84.61169
NCI-H1703,AKT.CSNK2A1_2,20.9673
NCI-H1793,AKT.CSNK2A1_2,86.79528
NCI-H2085,AKT.CSNK2A1_2,27.41059
NCI-H2228,AKT.CSNK2A1_2,42.21827
NCI-H226,AKT.CSNK2A1_2,64.27931
NCI-H23,AKT.CSNK2A1_2,24.16315
NCI-H520,AKT.CSNK2A1_2,15.52841
NCI-H522,AKT.CSNK2A1_2,25.75817
CAMA-1,AKT.Chloroquine,13.53424
HCC1419,AKT.Chloroquine,-24.00694
HCC1500,AKT.Chloroquine,4.386597
MCF7,AKT.Chloroquine,24.88766
MDA-MB-175-VII,AKT.Chloroquine,-72.85194
UACC-812,AKT.Chloroquine,-8.967205
647-V,AKT.ERBB,-1.172512
BFTC-905,AKT.ERBB,114.3452
HT-1376,AKT.ERBB,58.82512
J82,AKT.ERBB,23.4819
KU-19-19,AKT.ERBB,-138.7725
VCaP,AKT.ERBB,5.142114
SW780,AKT.ERBB,-253.1437
T-24,AKT.ERBB,-12.38291
UM-UC-3,AKT.ERBB,-4.028207
VM-CUB-1,AKT.ERBB,-1.960764
647-V,AKT.FGFR,-41.87943
KU-19-19,AKT.FGFR,-90.52614
22RV1,AKT.FGFR,-13.81908
22RV1,AKT.FGFR,-3.384268
SW780,AKT.FGFR,-170.9453
T-24,AKT.FGFR,-30.95454
TCCSUP,AKT.FGFR,74.1667
UM-UC-3,AKT.FGFR,-4.248463
VM-CUB-1,AKT.FGFR,-267.1802
BFTC-905,AKT.HDAC_4,2.133099
HCC1419,AKT.HDAC_4,-13.24663
HCC1500,AKT.HDAC_4,-24.86501
HT-1376,AKT.HDAC_4,-12.20187
J82,AKT.HDAC_4,-5.847473
KU-19-19,AKT.HDAC_4,-39.09416
MDA-MB-175-VII,AKT.HDAC_4,-50.90575
SW780,AKT.HDAC_4,20.32464
T-24,AKT.HDAC_4,-9.996189
TCCSUP,AKT.HDAC_4,-16.70528
UACC-812,AKT.HDAC_4,-22.21899
VM-CUB-1,AKT.HDAC_4,1.081226
BT-20,AKT.PIK3CA_4,12.91164
CAL-148,AKT.PIK3CA_4,9.595285
CAMA-1,AKT.PIK3CA_4,10.95871
DU-4475,AKT.PIK3CA_4,22.08577
HCC1187,AKT.PIK3CA_4,2.609344
HCC1937,AKT.PIK3CA_4,2.647406
MDA-MB-157,AKT.PIK3CA_4,-5.720383
MDA-MB-231,AKT.PIK3CA_4,-1.718373
MDA-MB-436,AKT.PIK3CA_4,-9.456454
MDA-MB-453,AKT.PIK3CA_4,6.010587
MFM-223,AKT.PIK3CA_4,6.784097
M14,AKT.PIK3CA_4,-0.7425711
BT-20,AKT.PIK3C_2,3.443067
BT-549,AKT.PIK3C_2,3.142523
CAL-120,AKT.PIK3C_2,-0.5383151
