node	x	y
STAT	812.340162229112	268.268676757812
JAK	787.485181760362	167.593627929688
RTKs	674.564527463488	97.908935546875
Rac1	337.607838839341	486.296997070312
AMPK	971.58684720301	597.302490234375
mTOR2	979.808517827514	831.4736328125
APAF1	1042.71509638876	1195.65922483277
Cdc25	1536.68790582412	745.892272351752
MK2	1111.47506176277	989.098388671875
TSC1/2	814.849012326769	968.64013671875
TGF-beta	2008.9188038238	1.6014404296875
Smad7	2092.29334345907	169.432495117188
TGFR	1881.51682368368	145.49195466993
SMAC	1133.62709819135	829.7939453125
p120RasGAP	406.269905959072	399.696383498109
Sos	227.224019893958	335.223510742188
PTEN	973.241691826998	484.997192382812
mTOR1	928.497166469825	1055.67041015625
IRS	696.593702268175	245.952880859375
PIP3	796.739266310634	568.674063409456
TAO	890.776026771944	390.539794921875
MLKs	615.895161944585	817.536865234375
MKK3/6	692.165282736501	692.309115962916
MEKK4	792.108040724697	377.52382936476
MEKK3	595.036995802822	544.406627521493
TAK1	783.313485060634	461.48267732618
MEKK2	481.565318202054	482.217651367188
Ras	184.055553091099	469.740964196098
CRaf	265.445826275653	577.68212890625
BRaf	142.67666123659	577.72607421875
MEKK1	413.499108860677	589.1220703125
MDMX	1332.33326045126	343.635619704966
MKK7	545.757965689558	678.011474609375
MKK4	359.223872513832	727.304931640625
SPRY	0	498.976579496269
Src	551.719368849697	181.654148034226
Shc	555.481821307319	289.907739514962
S6K	857.561414670519	1340.96313476562
GADD45	940.228463087978	177.14286340962
Smad2/3	1986.51941955046	412.925415039062
SHP2	117.115898601847	259.397827148438
PI3K	632.028272580675	447.245849609375
GAB1	245.895073174654	149.12353515625
WNT	1619.28464855036	0
MKPs	304.989813816324	980.959047220872
MEK	188.493930476912	701.4765625
Grb2	382.719902276217	276.341507589105
EGFR	406.073579736179	123.788418983576
EGF	384.044444692938	10.1260986328125
p14ARF	1443.9245311413	165.013427734375
MDM2	1301.36728755087	490.464676534417
DNA-PK	1097.20257637857	139.281740882304
CyclinE	1755.59912450094	1094.00370725465
p15	1892.26598819557	737.931884765625
FOXO3	421.777840529384	1254.44828733277
c-Myc	646.398982336061	1313.18188476562
CyclinD	1568.05402461142	948.120730071634
Rb	1670.563799128	819.046630859375
p27	1768.52039042562	1314.13008180786
p21	1968.61596066732	1237.89526367188
CyclinA	1593.10974970907	1154.71958091921
Cdh1	1381.2047692969	1166.50880121295
Cdc20	1527.55786982626	1251.59244386652
CyclinB	1475.58433551109	1057.33447265625
MSK	698.920784865322	1036.0163950714
CHK1	1212.69924338397	257.201049804688
CytC	1291.52161613838	912.396240234375
XIAP	1121.98169795126	1050.75441945167
CASP9	1267.34556134925	1075.29931640625
CASP3	1330.01062861532	1343.71684202027
Bcl-2	1404.69456286388	807.598876953125
Smad2/3_4	2033.75078104159	560.706298828125
p53	1134.94947019383	418.367063039821
Bax	1225.79047480673	741.355413797438
BRCA1	1098.32654538914	596.947021484375
CHK2	931.594047483741	285.480411762387
Akt	793.433179807237	813.14111328125
PDK1	881.638060932285	670.933314547154
AXIN	1674.9776150645	374.514038085938
Wip1	1055.44135371298	313.456795204462
CyclinG	1322.28566796605	614.089111328125
E2F1	1856.04321262232	939.96875
ATM	1242.39698115438	147.220944664571
DNA_damage	1064.98493541559	9.1082763671875
p38	678.930704340407	918.482973715795
APC	1828.64959422201	303.3046950067
Frizzled	1630.12713207087	127.3212890625
GSK3beta	1466.45047123553	480.328437937204
p90RSK	499.205941115322	1017.11772249394
PP2A	1027.18097900938	705.559326171875
JNK	429.403450880947	872.05211217855
ERK	186.65798555026	839.364501953125
ELK1	213.110115920009	1081.61796663456
CREB	787.096234315506	1115.322265625
beta-catenin	1683.95558226671	559.124568271527
AP-1	1129.24715153852	1350.14306640625
ATF2	632.849072604272	1164.11585282165
