node	x	y
MYC_MAX	192.69376373291	700.706260844508
SOCS	21.81591796875	363.133148193359
STAT	22.3280944824219	277.474655151367
JAK	21.6470108032227	220.316055297852
PDGFR_stimulus	141.58226776123	0
PDGFR	142.068756103516	101.570587158203
ZEB	1075.79885101318	758.389999389648
ECAD	973.041954040527	759.085739135742
SNAI2	864.090843200684	797.849472045898
SNAI1	862.52205657959	727.933090209961
AKT	59.487850189209	536.613082885742
PTEN	896.68807220459	534.781295776367
AP1	636.305137634277	686.42155456543
JUN	638.033531188965	512.806350708008
FOS	533.024253845215	597.26838684082
ATF2	717.570091247559	595.56379699707
Apoptosis	705.987144470215	844.007919311523
BCL2	407.921867370605	768.990768432617
ERK	349.254081726074	457.331527709961
FOXO	771.731794560145	762.804306030273
P53	1011.97499847412	285.472869873047
JNK	727.657981872559	451.11653137207
P38	1151.86598968506	443.180953979492
ATM	1110.00881195068	102.259803771973
DNA_damage	1110.00881195068	0
CREB	542.256217956543	727.818161010742
MSK	430.281517028809	571.714950561523
DUSP1	694.520835876465	730.016891479492
EGFR	269.170921325684	97.5939025878906
EGFR_stimulus	270.107048034668	0
SPRY	280.209739685059	324.860748291016
PKC	700.456199645996	326.765197753906
GRB2	329.890251159668	231.631370544434
ELK1	562.957908630371	489.890121459961
MEK	489.592735290527	411.583267211914
FGFR	514.392570495605	102.259803771973
FGFR_stimulus	514.572868347168	0
RSK	460.196708679199	502.463516235352
FRS2	449.581962585449	186.936611175537
GAB1	158.980804443359	270.461166381836
PI3K	158.980758666992	376.670791625977
GADD45	935.874473571777	237.299545288086
SMAD	933.995079040527	168.473236083984
TGFBR	812.200706481934	102.259803771973
Growth_Arrest	1149.74294281006	844.007919311523
P21	59.487850189209	421.792770385742
TAOK	1193.714012146	285.418533325195
MAP3K1_3	654.690757751465	272.133926391602
MTK1	934.974327087402	406.54997253418
TAK1	809.804588317871	232.535903930664
RAS	538.09090423584	271.022842407227
MAX	846.615562438965	615.284774780273
MDM2	1111.89540863037	289.262786865234
ARF	1108.88161468506	649.255905151367
RAF	488.197441101074	327.54833984375
PPP2CA	622.618125915527	406.525588989258
MYC	364.729850769043	660.354904174805
S6K	154.918792724609	622.528457641602
SOS	413.939933776855	266.952453613281
PLCG	698.44149017334	191.278553009033
Proliferation	262.23136138916	844.007919311523
TGFBR_stimulus	808.238090166075	0
CMET	0	99.1703872680664
CMET_stimulus	0.420204162597656	0
